lat,lon,name,admin1,admin2,cc,coord_tuple
25.0657,55.17128,Dubai,Dubai,,AE,"('25.1883754', '55.2636471')"
10.10468,76.3565,Aluva,Kerala,Ernakulam,IN,"('10.1065974', '76.363339')"
28.50098,34.51338,Dhahab,South Sinai,,EG,"('28.5722676', '34.5373107')"
-25.42778,-49.27306,Curitiba,Parana,Curitiba,BR,"('-25.4413738', '-49.2776371')"
44.80556,20.42417,Novi Beograd,Central Serbia,Belgrade,RS,"('44.814083', '20.426629')"
31.54972,74.34361,Lahore,Punjab,,PK,"('31.5140331', '74.2662897')"
24.9424,67.2066,Malir Cantonment,Sindh,,PK,"('24.9067884', '67.1890415')"
26.91962,75.78781,Jaipur,Rajasthan,Jaipur,IN,"('26.9021043', '75.776894')"
53.9953,10.77676,Timmendorfer Strand,Schleswig-Holstein,,DE,"('53.9994626', '10.7799979')"
37.65639,126.835,Goyang-si,Gyeonggi-do,,KR,"('37.6035884', '126.7720274')"
36.78167,126.45222,Suisan,Chungcheongnam-do,,KR,"('36.7449287', '126.3004745')"
11.98333,76.41667,Sargur,Karnataka,Mysore,IN,"('11.9261605', '76.2662842')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2290425', '55.3403969')"
33.6007,73.0679,Rawalpindi,Punjab,,PK,"('33.6095044', '73.009303')"
42.01892,-87.80284,Niles,Illinois,Cook County,US,"('42.005288', '-87.794414')"
1.28967,103.85007,Singapore,,,SG,"('1.3132802', '103.8579792')"
31.56044,-91.40317,Natchez,Mississippi,Adams County,US,"('31.5594976', '-91.4107391')"
50.96667,-1.35,Eastleigh,England,Hampshire,GB,"('50.9622392', '-1.3529627')"
44.47588,-73.21207,Burlington,Vermont,Chittenden County,US,"('44.4501188', '-73.2107437')"
55.73165,12.36328,Ballerup,Capital Region,Ballerup Kommune,DK,"('55.7188986', '12.3581236')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.2142479', '55.2508707')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.2108205', '55.275521')"
18.33811,73.84677,Khed,Maharashtra,Pune Division,IN,"('18.302642', '73.8720543')"
24.53611,56.56556,Al Liwa',Al Batinah,,OM,"('24.4200413', '56.6204493')"
35.69439,51.42151,Tehran,Tehran,,IR,"('35.7146389', '51.4215045')"
19.07283,72.88261,Mumbai,Maharashtra,Mumbai Suburban,IN,"('19.0644647', '72.8358602')"
55.60587,13.00073,Malmoe,Skane,Malmo,SE,"('55.5909534', '13.0106383')"
50.29761,18.67658,Gliwice,Silesian Voivodeship,Gliwice,PL,"('50.2948644', '18.6648898')"
35.8044,51.4256,Tajrish,Tehran,,IR,"('35.7606152', '51.4829847')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.0422552', '55.1187432')"
33.9,35.48333,Ra's Bayrut,Beyrouth,,LB,"('33.8952056', '35.4859331')"
53.79391,-1.75206,Bradford,England,Bradford,GB,"('53.7904525', '-1.7831424')"
26.27944,50.20833,Khobar,Eastern Province,,SA,"('26.1072125', '50.1590725')"
8.52139,124.57111,Opol,Northern Mindanao,Province of Misamis Oriental,PH,"('8.5216766', '124.574672')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.0952665', '55.3255928')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2842716', '55.3599546')"
51.05089,13.73832,Dresden,Saxony,,DE,"('51.0518734', '13.7415216')"
52.35902,-2.00715,Barnt Green,England,Worcestershire,GB,"('52.3944285', '-1.9844898')"
29.81667,31.05,Madinat Sittah Uktubar,Al Jizah,,EG,"('29.9769173', '30.944643')"
24.80361,120.96861,Hsinchu,Taiwan,Hsinchu,TW,"('24.8104638', '120.9730823')"
44.80556,20.42417,Novi Beograd,Central Serbia,Belgrade,RS,"('44.801927', '20.3876309')"
48.96791,2.39781,Garges-les-Gonesse,Ile-de-France,Departement du Val-d'Oise,FR,"('48.961358', '2.4026103')"
12.97194,77.59369,Bangalore,Karnataka,Bangalore Urban,IN,"('12.9281307', '77.6370355')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2714966', '55.3104313')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2378701', '55.3181191')"
41.69472,44.69861,Tsqnet'i,,,GE,"('41.6978303', '44.7011664')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.211825', '55.413932')"
24.68773,46.72185,Riyadh,Ar Riyad,,SA,"('24.74108', '46.7509326')"
32.64005,-117.0842,Chula Vista,California,San Diego County,US,"('32.6094762', '-117.0678526')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2647016', '55.2921003')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.090029', '55.147175')"
34.3827,8.15549,Ar Rudayyif,Gafsa,,TN,"('34.4914017', '8.2666124')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.0848952', '55.1489261')"
33.69417,35.58083,Beit ed Dine,Mont-Liban,,LB,"('33.6728987', '35.5367644')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.2070476', '55.2681791')"
51.51116,-0.18426,Bayswater,England,Greater London,GB,"('51.5143337', '-0.1808588')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2576656', '55.3067856')"
23.07041,72.65702,Naroda,Gujarat,Ahmadabad,IN,"('23.0605184', '72.7073413')"
23.07041,72.65702,Naroda,Gujarat,Ahmadabad,IN,"('23.0615004', '72.6439244')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.078488', '55.1431475')"
30.06263,31.24967,Cairo,Muhafazat al Qahirah,,EG,"('30.090192', '31.2417778')"
17.07787,78.20339,Farrukhnagar,Telangana,Mahbubnagar,IN,"('17.0109482', '78.2337878')"
25.33132,56.34199,Khawr Fakkan,Ash Shariqah,,AE,"('25.3587475', '56.3486158')"
54.4418,18.56003,Sopot,Pomeranian Voivodeship,Sopot,PL,"('54.4336199', '18.5835216')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.1537637', '55.225787')"
41.62046,45.92198,Sighnaghi,Kakheti,,GE,"('41.6065624', '45.933395')"
28.68964,77.13126,Pitampura,NCT,North West Delhi,IN,"('28.6670428', '77.1200236')"
45.50884,-73.58781,Montreal,Quebec,Montreal,CA,"('45.5109048', '-73.5601921')"
25.41111,55.43504,Ajman,Ajman,,AE,"('25.3923914', '55.5055542')"
31.21564,29.95527,Alexandria,Alexandria,,EG,"('31.1961599', '29.9029271')"
36.59548,-4.56937,Benalmadena,Andalusia,Provincia de Malaga,ES,"('36.5868218', '-4.5315834')"
60.16952,24.93545,Helsinki,Uusimaa,Helsinki,FI,"('60.168413', '24.9492161')"
24.46667,54.36667,Abu Dhabi,Abu Dhabi,,AE,"('24.489696', '54.35428')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.0448555', '55.1316949')"
49.98214,7.92964,Rudesheim am Rhein,Hesse,Regierungsbezirk Darmstadt,DE,"('50.0030955', '7.9101939')"
39.47523,-0.41825,Mislata,Valencia,Provincia de Valencia,ES,"('39.4708661', '-0.4062377')"
7.91779,98.33322,Kathu,Phuket,Amphoe Kathu,TH,"('7.9344415', '98.322905')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.1729424', '55.2221339')"
12.9162,80.2488,Injambakkam,Tamil Nadu,Kancheepuram,IN,"('12.9294754', '80.2310689')"
26.27944,50.20833,Khobar,Eastern Province,,SA,"('26.2917326', '50.2071209')"
51.49384,-0.22882,Hammersmith,England,Greater London,GB,"('51.4912401', '-0.2125583')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.1273416', '55.1220526')"
35.67056,139.88861,Urayasu,Tokyo,,JP,"('35.7119477', '139.7984441')"
6.45254,3.43584,Ikoyi,Lagos,,NG,"('6.4388243', '3.4585601')"
41.76337,12.33078,Acilia-Castel Fusano-Ostia Antica,Latium,Citta metropolitana di Roma Capitale,IT,"('41.7581763', '12.2976601')"
29.33389,48.07611,As Salimiyah,Muhafazat Hawalli,,KW,"('29.3334085', '48.0566736')"
55.60587,13.00073,Malmoe,Skane,Malmo,SE,"('55.5966194', '12.9724166')"
7.89607,98.29661,Patong,Phuket,,TH,"('7.892142', '98.2993156')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.2248553', '55.2550564')"
17.38405,78.45636,Hyderabad,Telangana,Hyderabad,IN,"('17.354712', '78.421716')"
24.68773,46.72185,Riyadh,Ar Riyad,,SA,"('24.7437006', '46.7539761')"
40.53259,44.72025,Tsaghkadzor,Kotayk'i Marz,,AM,"('40.5340762', '44.7064128')"
31.21564,29.95527,Alexandria,Alexandria,,EG,"('31.2066371', '29.8821912')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2210309', '55.2850267')"
8.88113,76.58469,Kollam,Kerala,Kollam,IN,"('8.9061086', '76.5734933')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2261609', '55.2727452')"
-33.85395,18.49231,Sunset Beach,Western Cape,City of Cape Town,ZA,"('-33.8506922', '18.5278255')"
0.3475,32.64917,Kireka,Central Region,Wakiso District,UG,"('0.3913205', '32.6257253')"
43.25654,76.92848,Almaty,Almaty Qalasy,,KZ,"('43.1576305', '77.048765')"
47.37178,8.52584,Zuerich (Kreis 4) / Werd,Zurich,Bezirk Zuerich,CH,"('47.3738896', '8.5265701')"
53.56685,-2.88178,Ormskirk,England,Lancashire,GB,"('53.5669747', '-2.8848013')"
48.8846,2.26965,Neuilly-sur-Seine,Ile-de-France,Departement des Hauts-de-Seine,FR,"('48.8664687', '2.2731431')"
41.38022,2.17319,Ciutat Vella,Catalonia,Provincia de Barcelona,ES,"('41.3822323', '2.1725816')"
51.54067,-0.11675,Barnsbury,England,Greater London,GB,"('51.53526', '-0.124376')"
56.25708,-3.2135,Falkland,Scotland,Fife,GB,"('56.2543259', '-3.2055822')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.268112', '55.3180028')"
24.80361,120.96861,Hsinchu,Taiwan,Hsinchu,TW,"('24.803228', '120.9512457')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2611161', '55.2928115')"
43.67952,40.20403,Krasnaya Polyana,Krasnodarskiy,Sochi City,RU,"('43.6836986', '40.263171')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.1184751', '55.2000312')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.1923586', '55.2594258')"
24.80361,120.96861,Hsinchu,Taiwan,Hsinchu,TW,"('24.8044995', '120.9655154')"
23.21667,72.68333,Ghandinagar,Gujarat,Gandhinagar,IN,"('23.2032902', '72.659914')"
50.4,18.63333,Pyskowice,Silesian Voivodeship,Powiat gliwicki,PL,"('50.3302087', '18.6057843')"
56.8519,60.6122,Yekaterinburg,Sverdlovsk,,RU,"('56.838467', '60.594657')"
39.5,2.75,s'Arenal,Balearic Islands,Illes Balears,ES,"('39.5503174', '2.7295246')"
12.97194,77.59369,Bangalore,Karnataka,Bangalore Urban,IN,"('12.9118082', '77.5867828')"
24.19167,55.76056,Al Ain,Abu Dhabi,,AE,"('24.1059375', '55.7371875')"
44.31721,7.74426,Roccaforte Mondovi,Piedmont,Provincia di Cuneo,IT,"('44.3019405', '7.7083656')"
37.566,126.9784,Seoul,Seoul,,KR,"('37.5604462', '126.9718322')"
39.47523,-0.41825,Mislata,Valencia,Provincia de Valencia,ES,"('39.4896382', '-0.3998444')"
28.63576,77.22445,New Delhi,NCT,New Delhi,IN,"('28.5486913', '77.204946')"
44.74194,20.44139,Rakovica,Central Serbia,Belgrade,RS,"('44.7376482', '20.4193101')"
44.04861,43.05944,Pyatigorsk,Stavropol'skiy,,RU,"('44.0353356', '43.0597973')"
25.11641,56.34141,Al Fujayrah,Al Fujayrah,,AE,"('25.1247995', '56.3560032')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.079415', '55.139442')"
21.54238,39.19797,Jeddah,Makkah,,SA,"('21.5550614', '39.2136524')"
24.68773,46.72185,Riyadh,Ar Riyad,,SA,"('24.708563', '46.6874196')"
29.76745,-95.52994,Bunker Hill Village,Texas,Harris County,US,"('29.7796436', '-95.5618257')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2469834', '55.338183')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.101208', '55.1677126')"
45.46427,9.18951,Milano,Lombardy,Citta metropolitana di Milano,IT,"('45.4805884', '9.2015858')"
42.00833,-91.64407,Cedar Rapids,Iowa,Linn County,US,"('42.0223256', '-91.6499981')"
21.54238,39.19797,Jeddah,Makkah,,SA,"('21.5588761', '39.170948')"
50.71184,5.6468,Oupeye,Wallonia,Province de Liege,BE,"('50.6872564', '5.6461131')"
51.47828,0.27672,West Thurrock,England,Kent,GB,"('51.4864028', '0.276867')"
31.21564,29.95527,Alexandria,Alexandria,,EG,"('31.200104', '29.886622')"
25.27932,51.52245,Doha,Baladiyat ad Dawhah,,QA,"('25.2875533', '51.5499272')"
25.0657,55.17128,Dubai,Dubai,,AE,"('24.8168206', '55.2312872')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.1862264', '55.2383291')"
25.27932,51.52245,Doha,Baladiyat ad Dawhah,,QA,"('25.2388854', '51.5698886')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.3006717', '55.4441248')"
24.46667,54.36667,Abu Dhabi,Abu Dhabi,,AE,"('24.4382785', '54.5724469')"
24.68773,46.72185,Riyadh,Ar Riyad,,SA,"('24.7828854', '46.6615305')"
43.51591,1.49864,Castanet-Tolosan,Midi-Pyrenees,Departement de la Haute-Garonne,FR,"('43.5409899', '1.5093655')"
41.97694,12.61855,Colle Verde,Latium,Citta metropolitana di Roma Capitale,IT,"('41.9578664', '12.5494979')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.3404323', '55.4087989')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.1986946', '55.2906261')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.1128321', '55.2267994')"
50.58907,5.86241,Verviers,Wallonia,Province de Liege,BE,"('50.5880682', '5.8508507')"
9.05785,7.49508,Abuja,Abuja Federal Capital Territory,,NG,"('9.0787497', '7.4800845')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2708008', '55.3270071')"
