ratings,review_data,text,lat,long,name_of_loc,name_only,address_only,num_reviews,loc_type,avg_review,user_href,ID
 4 stars ,2 years ago,Good shopping.... ,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/100264060641207233108?hl=en-HU,1
 4 stars ,3 years ago,Good Spineys store for quick shopping visits located at the G level of Al Gurair Mall. You can find here all the usual Spineys products plus aditional services stores.,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/112956224697345882817?hl=en-HU,1
 3 stars ,3 years ago,Good supermarket for non Muslims.,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/101829848308578257763?hl=en-HU,1
 3 stars ,2 years ago,Nice food,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/107233699283549998094?hl=en-HU,1
 1 star ,3 years ago,Have birthday cake..????,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/115314850442696555707?hl=en-HU,1
 2 stars ,a year ago,Nice,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/105521997114825769893?hl=en-HU,1
 4 stars ,2 years ago,Very well stocked.,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/110125716553612899009?hl=en-HU,1
 3 stars ,3 years ago,"Goog but not ""everything"" is available ",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/117985592797053258359?hl=en-HU,1
 5 stars ,2 years ago,good place to find everytjing,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/114708458702981773032?hl=en-HU,1
 3 stars ,2 years ago,Went to buy Dragon fruit but not available ,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/101174023990469643211?hl=en-HU,1
 3 stars ,a year ago,Good,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/114586270335966673585?hl=en-HU,1
 1 star ,3 years ago,"Wrong place, this actual one is inside al ghurair mall",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/111111254355722445692?hl=en-HU,1
 2 stars ,2 years ago,Good food stuff but Expensive ,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/112165308888950402969?hl=en-HU,1
 5 stars ,2 years ago,Many food stuff available here than other Spinneys.,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/111538800714247667844?hl=en-HU,1
 3 stars ,3 years ago,"Variety, expensive and good looking",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/104796867902133702389?hl=en-HU,1
 5 stars ,3 years ago,Love it,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/104938993478905790108?hl=en-HU,1
 3 stars ,a year ago,Friendly staff,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/108050394795470004113?hl=en-HU,1
 4 stars ,2 years ago,Products are very fresh,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/101670889103931167084?hl=en-HU,1
 5 stars ,6 months ago,Supermarket,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/104525485764554773636?hl=en-HU,1
 5 stars ,2 years ago,Clean and friendly staffs,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/111102009307454205092?hl=en-HU,1
 5 stars ,2 years ago,Amazing store,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/110767698714748297832?hl=en-HU,1
 5 stars ,2 years ago,This is supper store  everything you can get ,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/102593971074312061977?hl=en-HU,1
 3 stars ,2 years ago,Expensive but you can get a variety of imported items that you don't find anywhere else ,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/117548634669041534685?hl=en-HU,1
 5 stars ,4 years ago,Excellent in all.....,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/100244831393200757241?hl=en-HU,1
 4 stars ,2 years ago,Good,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/110269992850566580686?hl=en-HU,1
 3 stars ,2 years ago,Good,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/110897532200953190035?hl=en-HU,1
 5 stars ,a year ago,Supermarket,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/115947127317018033819?hl=en-HU,1
 3 stars ,a year ago,So so,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/102973549599284633223?hl=en-HU,1
 1 star ,2 years ago,Expensive ,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/109623490664575489155?hl=en-HU,1
 4 stars ,4 months ago,"(Translated by Google) Very clean and organized. Worth a visit

(Original)
Muito limpo e organizado. Vale a pena visitar",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/118045437025688441296?hl=en-HU,1
 5 stars ,2 months ago,"(Translated by Google) SPRR

(Original)
Sprr",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/112885620588272818069?hl=en-HU,1
 5 stars ,2 years ago,"(Translated by Google) There is a little tout.Des prepared meals are made available. You choose what you like and you proceed to checkout. The frame is large and generally quiet.

(Original)
On y trouve un peu de tout.Des plats préparés …",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/117933345788554372136?hl=en-HU,1
 5 stars ,2 years ago,"(Translated by Google) It is beautiful and interesting wall of supermarket contains everything needed for home shopping is very beautiful

(Original)
انه سور ماركت جميل وممتع يحتوي كل ما يحتاجه التسوق المنزلي جميل جدا",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/109935503659503824697?hl=en-HU,1
 3 stars ,2 years ago,"(Translated by Google) Quite so with its prices in some things more expensive than other similar places

(Original)
لا بأس به مع ذلك اسعاره في بعض الاشياء اغلى عن الاماكن الاخرى المشابهه",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/114475710527337367323?hl=en-HU,1
 5 stars ,2 years ago,"(Translated by Google) Deira Dubai

(Original)
deira dubai",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/103436390352913849909?hl=en-HU,1
 5 stars ,2 years ago,"(Translated by Google) Interesting

(Original)
ممتع",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/104506483549948536064?hl=en-HU,1
 1 star ,a year ago,"(Translated by Google) Nice

(Original)
جميل",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/102559594448660256193?hl=en-HU,1
 4 stars ,2 years ago,"(Translated by Google) Excellent

(Original)
ممتاز",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/103110168304234681387?hl=en-HU,1
 5 stars ,2 years ago,"(Translated by Google) Jajeel

(Original)
ججميل ",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/100541483015251109591?hl=en-HU,1
 5 stars ,a year ago,,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/101249916346671183552?hl=en-HU,1
 3 stars ,4 months ago,,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/114508546501319311819?hl=en-HU,1
 3 stars ,2 years ago,,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/107427839389142101834?hl=en-HU,1
 5 stars ,8 months ago,,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/112453468817403842310?hl=en-HU,1
 5 stars ,2 months ago,,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/102868575182358132817?hl=en-HU,1
 5 stars ,4 days ago,,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/113459981400097038419?hl=en-HU,1
 4 stars ,a week ago,,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/105334366724285072048?hl=en-HU,1
 3 stars ,5 months ago,,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/103500258945620709381?hl=en-HU,1
