Name,Review Number,Sentiment Score,lat,long
"Nike Factory Store - Canutillo, Texas ",250.0,0.5250460317460318,31.913012299999995,-106.58541830000007
"Nike Factory Store - Carlsbad, California ",151.0,0.48281052631578963,33.1259747,-117.32030239999999
"Nike Factory Store - Castle Rock, Colorado",326.0,0.4335678899082567,39.416619300000065,-104.87500569999987
"Nike Factory Store - Celebration, Florida ",878.0,0.5084118012422362,28.333845400000225,-81.53067490000018
"Nike Factory Store - Chandler, Arizona",151.0,0.4864658536585367,33.28801760000002,-111.97409309999999
"Nike Factory Store - Charleston, South Carolina",252.0,0.4155073529411765,32.87267350000001,-80.01693029999997
"Nike Factory Store - Charlotte, North Carolina",246.0,0.3793281690140847,35.16938200000003,-80.96943699999999
"Nike Factory Store - Charlottesville, Virginia",113.0,0.5392774193548387,38.04902040000001,-78.5045511
"Nike Factory Store - Chesterfield, Missouri",162.0,0.40179999999999993,38.6774117,-90.66204770000003
"Nike Factory Store - Cincinnati, Ohio",254.0,0.46779041095890406,39.43369960000003,-84.33653909999998
"Nike Factory Store - Citadel, California ",440.0,0.46148561151079087,34.00832910000006,-118.15152289999979
"Nike Factory Store - Clarksburg, Maryland",129.0,0.3458764705882353,39.22818639999999,-77.28581750000006
"Nike Factory Store - Clinton, Connecticut",191.0,0.38107413793103456,41.289224999999995,-72.53214200000001
"Nike Factory Store - Columbus, Ohio",223.0,0.3756071428571429,40.25974859999998,-82.92565599999998
"Nike Factory Store - Commerce, Georgia",231.0,0.42081250000000003,34.24894459999997,-83.4754424
"Nike Factory Store - Concord, North Carolina",216.0,0.44318222222222214,35.37057049999999,-80.7238238
"Nike Factory Store - Corpus Christi, Texas ",117.0,0.4917976744186045,27.794904100000014,-97.64962259999994
"Nike Factory Store - Cypress, Texas ",168.0,0.47380877192982473,29.997382799999972,-95.75650219999991
"Nike Factory Store - Dawsonville, Georgia",143.0,0.4164945945945946,34.35953650000002,-84.04863089999995
"Nike Factory Store - Daytona Beach, Florida ",220.0,0.5047119999999998,29.21208709999999,-81.09905179999993
"Nike Factory Store - Deer Park, New York ",253.0,0.41702575757575766,40.76281819999999,-73.30584859999999
"Nike Factory Store - Des Moines, Iowa",131.0,0.42382439024390245,41.56471820000001,-93.80515960000001
"Nike Factory Store - Destin, Florida ",192.0,0.4947000000000001,30.380420899999994,-86.35395229999996
"Nike Factory Store - Dorchester, Massachusetts",128.0,0.5865130434782609,42.32578739999999,-71.0621741
"Nike Factory Store - Downtown Philadelphia, Pennsylvania",174.0,0.5119120000000001,40.0927855,-74.96194310000007
"Nike Factory Store - Eagan, Minnesota",169.0,0.5098977777777778,44.81521500000004,-93.2168425
"Nike Factory Store - Edinburgh, Indiana",294.0,0.41398666666666667,39.30844359999995,-85.96075629999997
"Nike Factory Store - Ellenton, Florida ",288.0,0.5254268817204296,27.535783899999988,-82.50700549999988
"Nike Factory Store - Estero, Florida ",197.0,0.40876666666666667,26.43589120000001,-81.77708540000002
"Nike Factory Store - Farmington, Utah",136.0,0.4874382352941178,40.984588900000006,-111.90357140000005
"Nike Factory Store - Finger Lakes, New York ",94.0,0.5745230769230769,42.95682000000004,-76.91857269999994
"Nike Factory Store - Foley, Alabama",193.0,0.36933508771929835,30.376569999999965,-87.67755800000002
"Nike Factory Store - Folsom, California ",225.0,0.4931366666666666,38.644327700000005,-121.18887650000009
"Nike Factory Store - Fort Myers, Florida ",124.0,0.5510387755102041,26.494459499999973,-81.97559749999992
"Nike Factory Store - Fort Worth, Texas ",129.0,0.5099954545454547,33.022483199999975,-97.28172469999994
"Nike Factory Store - Foxwoods, Connecticut",79.0,0.26587727272727274,41.476137799999975,-71.96150859999996
"Nike Factory Store - Freeport, Maine",46.0,0.5154315789473686,43.85574020000001,-70.10264129999997
"Nike Factory Store - Gaffney, South Carolina",116.0,0.2588848484848485,35.08108019999999,-81.71351999999996
"Nike Factory Store - Gainesville, Florida ",59.0,0.5679,29.624904300000008,-82.39601590000004
