Address,Review Number,Sentiment Score,lat,long
"Under Armour , 8300 Arroyo Circle, Gilroy",41.0,0.5911,37.0216699,-121.5606372
"Under Armour , 8687 North Central Expressway, Dallas",28.0,0.6089,32.8683355,-96.77228670000001
"Under Armour , 8770 Factory Shoppes Blvd., Jeffersonville",74.0,0.525205,38.79539550000001,-77.00179150000002
"Under Armour , 915 Ridgewalk Parkway, Woodstock",68.0,0.28369615384615393,34.12027769999998,-84.52653379999998
"Under Armour , 950 Camarillo Center Drive, Camarillo",32.0,0.549776923076923,34.214021,-119.05731730000001
"Under Armour , 9911 Avon Lake Rd., Burbank",74.0,0.48925945945945953,40.99996529999999,-81.9875068
"Under Armour , E200, Tuscola Blvd, Tuscola",26.0,0.5556636363636364,39.78813639999999,-88.26864769999999
"Under Armour , Hillsboro",68.0,0.5616727272727273,32.0157663,-97.09453110000003
"Under Armour , Howell",80.0,0.3920633333333334,42.622058200000005,-83.99573259999993
"Under Armour Factory House , 3195 Outlet Drive Edinburgh, IN 46124",19.0,0.35094000000000003,39.354483,-85.966657
"Under Armour Factory House , 8200 Vineland Ave Suite 405A, Orlando, FL 32821",203.0,0.5064986111111112,28.387123499999962,-81.49237499999988
