,name_of_loc,ratings_of_loc,address_of_loc,number_of_reviews,type_loc,price_level
198,Nike Factory Store - Folsom,,California ,,,
199,Hurley Factory Store - Houston Premium Outlets,,Texas ,,,
200,Nike Factory Store - Gloucester,,New Jersey,,,
201,Nike Factory Store - Omaha,,Nebraska,,,
202,Nike Factory Store - Katy Mills,,Texas ,,,
203,Nike Factory Store - San Marcos,,Texas ,,,
204,Nike Clearance Store - San Leandro,,California ,,,
205,Nike Santa Monica,,California ,,,
206,Nike Community Store - New Orleans,,Louisiana,,,
207,Nike Factory Store - St Augustine,,Florida ,,,
208,Nike Dallas North Park,,Texas ,,,
209,Hurley Factory Store - Citadel Outlets,,California ,,,
210,Hurley Clearance Store - Arizona Mills,,Arizona,,,
211,Nike Clearance Store - Laredo,,Texas ,,,
212,Nike Factory Store - Somerville,,Massachusetts,,,
213,Nike Factory Store - Philadelphia,,Pennsylvania,,,
214,Nike Factory Store - Phoenix,,Arizona,,,
215,Nike Factory Store - Gaffney,,South Carolina,,,
216,Nike Factory Store - Auburn,,Washington,,,
217,Nike Factory Store - Kittery,,Maine,,,
218,Nike Factory Store - Southaven,,Mississippi,,,
219,Nike Boston,,Massachusetts,,,
220,Nike San Francisco,,California ,,,
221,Nike Factory Store - Las Vegas North,,Nevada,,,
222,"Nike Factory Store - Williamsburg, VA",,Virginia,,,
223,Nike Las Vegas,,Nevada,,,
224,Nike Factory Store - Oklahoma City,,Oklahoma,,,
225,Hurley Factory Store - Las Vegas Premium Outlets North,,Nevada,,,
226,Nike Factory Store - North Conway,,New Hampshire,,,
227,Nike Factory Store - Mebane,,North Carolina,,,
228,Nike Factory Store - Bluffton,,South Carolina,,,
229,Nike Factory Store - Las Vegas South,,Nevada,,,
230,Nike Factory Store - Allen,,Texas ,,,
231,Nike Factory Store - Pittsburgh,,Pennsylvania,,,
232,Nike Factory Store - Dorchester,,Massachusetts,,,
233,Nike Factory Store - Castle Rock,,Colorado,,,
234,Nike Factory Store - San Ysidro,,California ,,,
235,Nike Clearance Store - Kissimmee,,Florida ,,,
236,Nike Factory Store - Marana,,Arizona,,,
